Product_ID,Category,Sub_Category,Description_EN,Production_Cost
109,Feminine,T-shirts and Tops,T-Shirt Oversized Estampada,9.05
110,Feminine,Pants and Jeans,Women'S Jogger Pants,34.1
111,Feminine,Skirts and Shorts,Female Jeans Skirt,10.34
112,Feminine,Suits and Sets,Knitting And Long Skirt Set Set,60.91
113,Feminine,Sportswear,Long Sleeve Blouse For Running,10.6
114,Feminine,Lingerie and Pajamas,Female Push Up Bra,6.48
115,Feminine,Accessories,Female Fedora Hat,2.78
116,Masculine,Coats and Blazers,Formal Neutral Tricot With Hood,28.35
117,Masculine,Sweaters and Sweatshirts,Boho Green Fink Emberade,15.69
118,Masculine,T-shirts and Polos,Luxurious Burgundy Satin With Buttons,30.18
119,Masculine,Shirts,Men'S Linen Shirt,5.78
120,Masculine,Pants and Jeans,Men'S Jeans Torn,19.09
121,Masculine,Suits and Blazers,Men'S Wool Blazer With Inner Lining,27.76
122,Masculine,Sportswear,Men'S T -Shirt With Uv Protection,14.62
123,Masculine,Underwear and Pajamas,Men'S Cotton T -Shirt To Sleep With Vol,15.74
124,Masculine,Accessories,Silk Slim Tie,5.76
125,Children,Baby (0-12 months),Modern Bordeon Jeans With Fringes,14.86
126,Children,"Girl and Boy (1-5 years, 6-14 years)",Green Leather Retro Stamped,20.82
127,Children,Coats,Sports Blue Satin With Ruffles,29.51
128,Children,Sweaters,Paddown Children'S Sweater For Winter,21.77
129,Children,Pajamas,Unicorn Print Childhood Pajama,13.61
130,Children,Accessories,Children'S Haircut With Grande Bow,8.91
131,Feminine,Coats and Blazers,Formal Blue Jeans With Ruffles,49.28
132,Feminine,Sweaters and Knitwear,Smooth Lilac Cotton Sports,15.05
133,Feminine,Dresses and Jumpsuits,Turquoise High-Tech Nylon With Fringes,35.75
134,Feminine,Shirts and Blouses,Printed Silk Blouse,25.07
135,Feminine,T-shirts and Tops,Stylish Crochet Top,6.95
136,Feminine,Pants and Jeans,Women'S Twill Pants,4.9
137,Feminine,Skirts and Shorts,Evasê Skirt With High Waist,19.9
138,Feminine,Suits and Sets,Fact Of Dress And Blazer,27.1
139,Feminine,Sportswear,Women'S Yoga Pants,22.07
140,Feminine,Lingerie and Pajamas,Lace Lingerie Set,7.07
141,Feminine,Accessories,Sunglasses With Colorful Frame,3.49
142,Masculine,Coats and Blazers,Stripped Green Polyester With Loop,14.16
143,Masculine,Sweaters and Sweatshirts,Vintage Black Polyester With Buttons,11.82
144,Masculine,T-shirts and Polos,Turquoise Leather Sports With Pockets,29.45
145,Masculine,Shirts,Men'S Denim Shirt,11.58
146,Masculine,Pants and Jeans,Men'S Pants,8.24
147,Masculine,Suits and Blazers,Casual Male Fact With Pocket Details,17.53
148,Masculine,Sportswear,Male Tank Top For Physical Activities,7.01
149,Masculine,Underwear and Pajamas,Cueca Boxer Men'S High Waist,5.43
150,Masculine,Accessories,Fedora Style Men'S Hat,1.78
151,Children,Baby (0-12 months),Casual Jeans Print,7.41
152,Children,"Girl and Boy (1-5 years, 6-14 years)",Silver Cotton Sports With Ruffles,27.81
153,Children,Coats,Stripped Velvet Silver Velvet,22.08
154,Children,Sweaters,Kidsman'S Kidshore With Striped Standard,15.09
155,Children,Pajamas,Children'S Long Pajama With Superhero Theme,13.06
156,Children,Accessories,Children'S Sunglasses With Uv Protection,2.43
157,Feminine,Coats and Blazers,Casual Cotton Silver With Buttons,10.49
158,Feminine,Sweaters and Knitwear,Vintage Burgundy,22.89
159,Feminine,Dresses and Jumpsuits,Vintage Beige Nylon With Buttons,32.17
160,Feminine,Shirts and Blouses,Women'S Linen Shirt,5.28
161,Feminine,T-shirts and Tops,T-Shirt Com Gola V,10.0
162,Feminine,Pants and Jeans,High Waist Jeans,29.13
163,Feminine,Skirts and Shorts,Female Asymmetrical Skirt,12.95
164,Feminine,Suits and Sets,High Collar Blouse Set And Skinny Pants,60.27
165,Feminine,Sportswear,Women'S Training T -Shirt,16.78
166,Feminine,Lingerie and Pajamas,Cotton Sweater With Lace,20.77
167,Feminine,Accessories,Braided Leather Belt,9.43
168,Masculine,Coats and Blazers,Executive Red Suede With Glitter,21.82
169,Masculine,Sweaters and Sweatshirts,Boho Denim Silver With Zipper,19.2
170,Masculine,T-shirts and Polos,Punk Velvet Pink With Hood,5.76
171,Masculine,Shirts,Slim Fit Cotton Shirt,14.43
172,Masculine,Pants and Jeans,Jeans Masculino Relaxed Fit,13.48
173,Masculine,Suits and Blazers,Men'S Blazer Sports Style With Modern Cut,37.61
174,Masculine,Sportswear,Men'S Compression Shorts,9.5
175,Masculine,Underwear and Pajamas,Male Pajama Of Flannel With Plaid Print,6.0
176,Masculine,Accessories,Men'S Leather Bracelet With Steel Closure,3.3
177,Children,Baby (0-12 months),High-Tech Jacquard Amarelo Liso,7.24
178,Children,"Girl and Boy (1-5 years, 6-14 years)",Stripped Burly Velvet With Hood,13.01
179,Children,Coats,Sports Jacquard Smooth Blue,15.16
180,Children,Sweaters,Lightweight To Half Season,6.88
181,Children,Pajamas,Children'S Short Pajama With Colorful Ice Cream Print,21.32
182,Children,Accessories,Silicone Children,15.04
183,Feminine,Coats and Blazers,Green Leather Retro Stamped,28.67
184,Feminine,Sweaters and Knitwear,Streetwear Yellow Cotton With Fringes,13.64
185,Feminine,Dresses and Jumpsuits,Casual Nylon Blue With Fringes,17.48
186,Feminine,Shirts and Blouses,Blusa Cropped Manga Buffalo,5.19
187,Feminine,T-shirts and Tops,Silk Top With Node Detail,13.51
188,Feminine,Pants and Jeans,Women'S Pantacourt Pants,55.71
189,Feminine,Skirts and Shorts,Tulle Skirt With High Waist,8.6
190,Feminine,Suits and Sets,Fact Of Female Suit,27.87
191,Feminine,Sportswear,Women'S Race Bermuda,13.8
192,Feminine,Lingerie and Pajamas,Short Doll De This,13.99
193,Feminine,Accessories,Elegant Women'S Wrist Watch,13.56
194,Masculine,Coats and Blazers,Blue Wool Retro With Buttons,25.14
195,Masculine,Sweaters and Sweatshirts,Casual Black Satin With Pockets,15.13
196,Masculine,T-shirts and Polos,Smooth Bordeland Classic,11.73
197,Masculine,Shirts,Men'S Flannel Shirt,10.54
198,Masculine,Pants and Jeans,Men'S Fabric Pants Sweatshirt,55.24
199,Masculine,Suits and Blazers,Male Fact Slim Fit With Mother,48.8
200,Masculine,Sportswear,Men'S Yoga Pants With Waist Adjustment,18.18
201,Masculine,Underwear and Pajamas,Men'S Cotton Underwear With Comfortable Elastic,6.83
202,Masculine,Accessories,Men'S Men'S Cachecol,3.66
203,Children,Baby (0-12 months),Executive Jacquard Mustard With Fringes,23.94
204,Children,"Girl and Boy (1-5 years, 6-14 years)",Embroidered Turquoise Linen Sports,21.75
205,Children,Coats,Vintage Silver Suede With Fringes,22.82
206,Children,Sweaters,Children'S Jersey With Kangaroo Pocket,9.12
207,Children,Pajamas,Children'S Winter Pajamas In Soft -Pucked,2.92
208,Children,Accessories,Kids Cachecol Of Knitting,5.23
209,Feminine,Coats and Blazers,Formal Blue Wool With Zipper,28.96
210,Feminine,Sweaters and Knitwear,Sports Black Seda With Ruffles,14.6
211,Feminine,Dresses and Jumpsuits,Boho Blue Silk Com Stages,21.37
212,Feminine,Shirts and Blouses,Women'S Plaid Shirt,11.81
213,Feminine,T-shirts and Tops,Women'S T-Shirt With Short Sleeve,10.9
214,Feminine,Pants and Jeans,Women'S Destroyed Pants,20.9
215,Feminine,Skirts and Shorts,Pencil Skirt Of Thin Fabric,8.75
216,Feminine,Suits and Sets,Jacket Set And Leather Skirt,25.25
217,Feminine,Sportswear,Women'S Cut Jacket,5.68
218,Feminine,Lingerie and Pajamas,Female Flannel Pajamas,5.8
219,Feminine,Accessories,Gold Bracelet With Details,11.52
220,Masculine,Coats and Blazers,Casual Yellow Velvet With Buttons,14.68
221,Masculine,Sweaters and Sweatshirts,Casual Beige Wool With Buttons,12.32
222,Masculine,T-shirts and Polos,Luxurious Smooth Green Velvet,3.89
223,Masculine,Shirts,Men'S Long Sleeve Shirt,6.63
224,Masculine,Pants and Jeans,Male Jeans With Wear Details,45.57
225,Masculine,Suits and Blazers,Men'S Velvet Blazer For Special Occasions,22.3
226,Masculine,Sportswear,Waterproof Men'S Jacket For Running,12.61
227,Masculine,Underwear and Pajamas,Short Men'S Pajama With T-Shirt And Short,6.15
228,Masculine,Accessories,Men'S Cap With Logo,12.29
229,Children,Baby (0-12 months),Luxurious White Nylon With Fringes,14.43
230,Children,"Girl and Boy (1-5 years, 6-14 years)",Punk Blue Blue Stamped,26.51
231,Children,Coats,Modern Smooth Silver Lane,29.9
232,Children,Sweaters,Long -Sleeved Children'S Jersey With Buttons,11.82
233,Children,Pajamas,Children'S Pajama With Long -Sleeved Blouse And Striped Pants,3.91
234,Children,Accessories,Children'S Leather Belt With Creative Buckle,7.44
235,Feminine,Coats and Blazers,Casual Denim Green Padded,25.69
236,Feminine,Sweaters and Knitwear,Vintage Green Silk With Buttons,14.34
237,Feminine,Dresses and Jumpsuits,Modern Smooth Silver Lane,24.07
238,Feminine,Shirts and Blouses,Lightwear Blouse,9.35
239,Feminine,T-shirts and Tops,Tult Top With Income Detail,14.05
240,Feminine,Pants and Jeans,Skinny Pants With Wear,15.34
241,Feminine,Skirts and Shorts,Women'S Linen Skirt,21.71
242,Feminine,Suits and Sets,Blazer Fact With Straight Pants,34.95
243,Feminine,Sportswear,Women'S Training Regatta,17.34
244,Feminine,Lingerie and Pajamas,Female Wireless Bra,16.25
245,Feminine,Accessories,Silver Ring With Modern Design,7.99
246,Masculine,Coats and Blazers,Vintage Jacquard Burgundy With Pockets,41.43
247,Masculine,Sweaters and Sweatshirts,Sports Blue Satin With Ruffles,10.29
248,Masculine,T-shirts and Polos,Stripped Burgundy Satin With Zipper,9.67
249,Masculine,Shirts,Men'S Basic Shirt,9.09
250,Masculine,Pants and Jeans,Men'S Jogger Pants,40.6
251,Masculine,Suits and Blazers,Classic Linen Masculine For Summer,28.42
252,Masculine,Sportswear,Men'S T -Shirt With Long Sleeves For Running,5.2
253,Masculine,Underwear and Pajamas,Short Sleeve Men'S T -Shirt,9.69
254,Masculine,Accessories,Men'S Leather Backpack,4.12
255,Children,Baby (0-12 months),Casual Tricot Turquoise Padded,9.28
256,Children,"Girl and Boy (1-5 years, 6-14 years)",Modern Jacquard Red Smooth,23.08
257,Children,Coats,Classic Turquoise Print,14.64
258,Children,Sweaters,Unicorn Stamp Child Sweet,7.36
259,Children,Pajamas,Children'S Pajama Sweatshirt With Teddy Bear,8.99
260,Children,Accessories,Children'S Straw Hat With Colored Ribbon,5.88
261,Feminine,Coats and Blazers,Executive Linen Mustard With Loop,23.75
262,Feminine,Sweaters and Knitwear,Turquoise Streetwear With Glitter,23.71
263,Feminine,Dresses and Jumpsuits,Classic Golden Wool Embroidered,27.27
264,Feminine,Shirts and Blouses,Transparent Tulle Blouse,22.37
265,Feminine,T-shirts and Tops,T-Shirt Printed Phrases,17.28
266,Feminine,Pants and Jeans,Dark Jeans With Dark Wash,19.32
267,Feminine,Skirts and Shorts,Skirt With Delicate Income,11.96
268,Feminine,Suits and Sets,Set Of T -Shirt And Fabric Shorts,36.52
269,Feminine,Sportswear,Women'S Compression Shorts,3.55
270,Feminine,Lingerie and Pajamas,Cotton Lingerie Set,11.33
271,Feminine,Accessories,Leatherwalk,7.41
272,Masculine,Coats and Blazers,Sports Pink Income With Bow,22.2
273,Masculine,Sweaters and Sweatshirts,Black Cotton Retro With Ruffles,23.46
274,Masculine,T-shirts and Polos,Stripped Cotton Pink With Buttons,5.93
275,Masculine,Shirts,Slim Fit Polo Shirt,17.21
276,Masculine,Pants and Jeans,Male Jeans With High Collar,13.27
277,Masculine,Suits and Blazers,Men'S Blazer Of Stage With Elegant Cut,62.48
278,Masculine,Sportswear,Men'S Legging For High Performance Activities,27.61
279,Masculine,Underwear and Pajamas,Breathable And Lightweight Men'S Boxer,10.8
280,Masculine,Accessories,Men'S Cotton Socks With Colorful Details,10.98
281,Children,Baby (0-12 months),Luxurious Silver Tricot With Glitter,13.23
282,Children,"Girl and Boy (1-5 years, 6-14 years)",Blue Tricot Executive With Hood,9.61
283,Children,Coats,Luxurious Green Suede With Fringes,14.11
284,Children,Sweaters,Children'S Sweatshirt With Front Zipper,24.5
285,Children,Pajamas,Space -Themed Mesh Pajamas And Planets,5.32
286,Children,Accessories,Children'S Bag With Fun Print,2.99
287,Feminine,Coats and Blazers,Blue Polyester Boho With Zipper,11.29
288,Feminine,Sweaters and Knitwear,Sports Beige Jeans With Zipper,27.22
289,Feminine,Dresses and Jumpsuits,Classic Gold Tricot With Bow,13.07
290,Feminine,Shirts and Blouses,Feminin Polo Shirt,17.33
291,Feminine,T-shirts and Tops,Top Of Tricot With V -Neckline,7.07
292,Feminine,Pants and Jeans,Women'S Pants With Fold,41.24
293,Feminine,Skirts and Shorts,Godê Sky Stamped,6.98
294,Feminine,Suits and Sets,Suit -Style Dress Fact,30.85
295,Feminine,Sportswear,Women'S Swimming Top,23.55
296,Feminine,Lingerie and Pajamas,Long Lace Jersey,6.57
297,Feminine,Accessories,Women'S Backpack With Zipper,2.52
298,Masculine,Coats and Blazers,Retro Linen Mustard With Loop,25.43
299,Masculine,Sweaters and Sweatshirts,High-Tech Black Wool Printed,16.39
300,Masculine,T-shirts and Polos,Formal Neutral Tricot With Hood,10.58
301,Masculine,Shirts,Men'S Printed Shirt,7.29
302,Masculine,Pants and Jeans,Men'S Tailoring Pants,9.8
303,Masculine,Suits and Blazers,Male Fact With High Collar And Belt Detail,42.33
304,Masculine,Sportswear,Men'S T -Shirt With High Collar For Training,17.39
305,Masculine,Underwear and Pajamas,Male Polyester Pajamas With Buttons And Pants,22.62
306,Masculine,Accessories,Leather Men'S Holder,16.41
307,Children,Baby (0-12 months),High-Tech Nylon Green With Fringes,10.35
308,Children,"Girl and Boy (1-5 years, 6-14 years)",Sports Cotton Yellow With Fringes,18.29
309,Children,Coats,Sports Satin Mustard With Lace,14.99
310,Children,Sweaters,Kidskot Shirt With Geometric Print,15.69
311,Children,Pajamas,Children'S Pajama Of Organic Cotton With Cloud Print,11.27
312,Children,Accessories,Digital Children'S Watch With Adjustable Bracelet,6.36
313,Feminine,Coats and Blazers,Retro Nylon Pink With Zipper,20.47
314,Feminine,Sweaters and Knitwear,Vintage Green Velvet With Pockets,10.14
315,Feminine,Dresses and Jumpsuits,Boho,13.84
316,Feminine,Shirts and Blouses,Stylish Peplum Blouse,9.93
317,Feminine,T-shirts and Tops,T-Shirt Long Sleeve With Floral Print,2.73
318,Feminine,Pants and Jeans,Wide Leg Jeans,35.27
319,Feminine,Skirts and Shorts,Skirt Midi Fold,5.4
320,Feminine,Suits and Sets,Women'S Sweatshirt With Hood,27.02
321,Feminine,Sportswear,High Performance Legging Pants,4.84
322,Feminine,Lingerie and Pajamas,Female Mesh Pajamas,8.13
323,Feminine,Accessories,Bandana Printed For Hair,0.93
324,Masculine,Coats and Blazers,Luxurious White Nylon With Zipper,14.38
325,Masculine,Sweaters and Sweatshirts,Casual Tricot Turquoise Padded,9.12
326,Masculine,T-shirts and Polos,Luxurious Silver Linen With Fringes,28.78
327,Masculine,Shirts,Shirt With Men'S Buttons,5.11
328,Masculine,Pants and Jeans,Male High Waist Jeans,29.78
329,Masculine,Suits and Blazers,Men'S Blazer With Plaid Print,18.85
330,Masculine,Sportswear,Male Sweatshirt With Post Workout Hood,18.27
331,Masculine,Underwear and Pajamas,Male Microfiber Underwear With Slim Design,9.26
332,Masculine,Accessories,Male Metal Fabric Belt,1.27
333,Children,Baby (0-12 months),Retro Yellow Silk With Fringes,8.05
334,Children,"Girl and Boy (1-5 years, 6-14 years)",Retro Yellow Silk With Fringes,4.27
335,Children,Coats,Modern Neutral Velvet With Buttons,18.71
336,Children,Sweaters,Children'S Jersey With Hood And Ears,4.29
337,Children,Pajamas,Children'S Pajama With Poá Pants And Round Collar Blouse,10.12
338,Children,Accessories,Children'S Sneakers With Led Lights,5.26
339,Feminine,Coats and Blazers,Vintage Turquoise Velvet With Zipper,30.11
340,Feminine,Sweaters and Knitwear,Blue Polyester Boho With Loop,11.16
341,Feminine,Dresses and Jumpsuits,Vintage Turquoise With Zipper,20.12
342,Feminine,Shirts and Blouses,Floral Crepe Blouse,12.5
343,Feminine,T-shirts and Tops,Top Of Lycra With Neck,11.26
344,Feminine,Pants and Jeans,Women'S Tailoring Pants,27.53
345,Feminine,Skirts and Shorts,Female Twill,8.42
346,Feminine,Suits and Sets,Blouse And Jogger Pants,71.77
347,Feminine,Sportswear,Female Fitness Set,26.42
348,Feminine,Lingerie and Pajamas,Female Bamboo Bra,10.05
349,Feminine,Accessories,Crystal Tiara For Hair,8.64
350,Masculine,Coats and Blazers,Modern Green Linen With Pockets,21.77
351,Masculine,Sweaters and Sweatshirts,Classic Golden Wool Embroidered,3.94
352,Masculine,T-shirts and Polos,Blue Polyester Boho With Loop,14.75
353,Masculine,Shirts,Male Casual Shirt,13.21
354,Masculine,Pants and Jeans,Men'S Synthetic Leather Pants,22.44
355,Masculine,Suits and Blazers,Male Fact Of Technological Fabric For Comfort,32.22
356,Masculine,Sportswear,Men'S Boxing Shorts With Elastic Waist,8.51
357,Masculine,Underwear and Pajamas,Male Cotton Pajama With Creative Print,11.99
358,Masculine,Accessories,Waterproof Men'S Digital Clock,8.52
359,Children,Baby (0-12 months),Striking Yellow Cotton With Pockets,16.02
360,Children,"Girl and Boy (1-5 years, 6-14 years)",Boho Pink Cotton With Loop,12.38
361,Children,Coats,Streetwear Bord Vile,11.1
362,Children,Sweaters,Kids Sweater Sweat With Colorful Stripes,18.39
363,Children,Pajamas,Children'S Pajama With Illustration Of Rockets And Astronauts,6.63
364,Children,Accessories,Children'S Wallet With Animated Design,5.3
365,Feminine,Coats and Blazers,Streetwear Silk Silver Padded,5.84
366,Feminine,Sweaters and Knitwear,Punk Neutral Leather With Fringes,9.32
367,Feminine,Dresses and Jumpsuits,Stripped Golden Wool With Pockets,24.35
368,Feminine,Shirts and Blouses,Camisa Oversized Feminina,5.6
369,Feminine,T-shirts and Tops,T-Shirt With Animal Print,14.76
370,Feminine,Pants and Jeans,Skinny High Waist Jeans,24.24
371,Feminine,Skirts and Shorts,High Waist Skirt And Shredded Bar,11.91
372,Feminine,Suits and Sets,Blazer And Godê Skirt Set,17.23
373,Feminine,Sportswear,Hooded Sweatshirt For Physical Activity,8.34
374,Feminine,Lingerie and Pajamas,Women'S Model Body,8.19
375,Feminine,Accessories,Hair Buckles With Stones,12.0
376,Masculine,Coats and Blazers,Sports Blue Income Embedded,21.75
377,Masculine,Sweaters and Sweatshirts,Vintage Denim Lilac Embroidered,22.09
378,Masculine,T-shirts and Polos,Formal Golden Income Printed,7.75
379,Masculine,Shirts,Male Silk Shirt,10.64
380,Masculine,Pants and Jeans,Male Jeans With Side Zipper,15.28
381,Masculine,Suits and Blazers,Men'S Silk Blazer For Formal Dinner,17.45
382,Masculine,Sportswear,Men'S T -Shirt For Football With Antiodor Technology,10.5
383,Masculine,Underwear and Pajamas,Men'S T -Shirt To Sleep With Round Neckline,5.55
384,Masculine,Accessories,Male Stainless Steel Ring,10.7
385,Children,Baby (0-12 months),Vintage Red Sumper Padded,11.36
386,Children,"Girl and Boy (1-5 years, 6-14 years)",Sports Jacquard Lilac With Ruffles,27.64
387,Children,Coats,Casual Pink Satin With Fringes,6.98
388,Children,Sweaters,Children'S Jersey With Round Collar And Stars,21.3
389,Children,Pajamas,Children'S Velvet Pajama With Embroidered Details,6.48
390,Children,Accessories,Children'S Apron For Kitchen,4.92
391,Feminine,Coats and Blazers,Classic Turquoise Print,7.8
392,Feminine,Sweaters and Knitwear,Turquoise Leather Executive With Zipper,25.1
393,Feminine,Dresses and Jumpsuits,Sports Linen Pink With Ruffles,14.11
394,Feminine,Shirts and Blouses,Elegant Velvet Blouse,10.53
395,Feminine,T-shirts and Tops,Top Of Mesh With Frontal Mooring,18.51
396,Feminine,Pants and Jeans,Women'S Cargo Pants,19.84
397,Feminine,Skirts and Shorts,Female Velvet Skirt,10.55
398,Feminine,Suits and Sets,Cropped And Skirt Midi,27.89
399,Feminine,Sportswear,Women'S Tennis Skirt,21.32
400,Feminine,Lingerie and Pajamas,Women'S Winter Pajamas With Buttons,6.47
401,Feminine,Accessories,Bangs,0.71
402,Masculine,Coats and Blazers,Golden Satin Printed Satin,26.18
